888880000118/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100020000117124.35 0000000000.00
888880000218/05/2020CARGAS SOCIALES                         102900020000042164.77 0000000000.00
888880000218/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100030000545362.86 0000000000.00
888880000318/05/2020CARGAS SOCIALES                         102900030000196330.63 0000000000.00
888880000318/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100040000076400.73 0000000000.00
888880000418/05/2020CARGAS SOCIALES                         102900040000027504.26 0000000000.00
888880000418/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100050000561157.69 0000000000.00
888880000518/05/2020CARGAS SOCIALES                         102900050000202016.77 0000000000.00
888880000518/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100070000181779.36 0000000000.00
888880000618/05/2020CARGAS SOCIALES                         102900070000065440.57 0000000000.00
888880000618/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100080000036692.88 0000000000.00
888880000718/05/2020CARGAS SOCIALES                         102900080000013209.44 0000000000.00
888880000718/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100090000337060.92 0000000000.00
888880000818/05/2020CARGAS SOCIALES                         102900090000121341.93 0000000000.00
888880000818/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100100000244719.23 0000000000.00
888880000918/05/2020CARGAS SOCIALES                         102900100000088098.92 0000000000.00
888880000918/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100110000823543.56 0000000000.00
888880001018/05/2020CARGAS SOCIALES                         102900110000296475.68 0000000000.00
888880001018/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100140000361720.38 0000000000.00
888880001118/05/2020CARGAS SOCIALES                         102900140000130219.34 0000000000.00
888880001118/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100150000370562.50 0000000000.00
888880001218/05/2020CARGAS SOCIALES                         102900150000133402.50 0000000000.00
888880001218/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100160000241911.25 0000000000.00
888880001318/05/2020CARGAS SOCIALES                         102900160000087088.05 0000000000.00
888880001318/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100170000280412.65 0000000000.00
888880001418/05/2020CARGAS SOCIALES                         102900170000100948.55 0000000000.00
888880001418/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100180000602020.57 0000000000.00
888880001518/05/2020CARGAS SOCIALES                         102900180000216727.41 0000000000.00
888880001518/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100200000258966.40 0000000000.00
888880001618/05/2020CARGAS SOCIALES                         102900200000093227.90 0000000000.00
888880001618/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100210000427556.64 0000000000.00
888880001718/05/2020CARGAS SOCIALES                         102900210000153920.39 0000000000.00
888880001718/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100220001162514.01 0000000000.00
888880001818/05/2020CARGAS SOCIALES                         102900220000418505.04 0000000000.00
888880001818/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100230000432694.01 0000000000.00
888880001918/05/2020CARGAS SOCIALES                         102900230000155769.84 0000000000.00
888880001918/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100240000633082.73 0000000000.00
888880002018/05/2020CARGAS SOCIALES                         102900240000227909.78 0000000000.00
888880002018/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100250000111854.12 0000000000.00
888880002118/05/2020CARGAS SOCIALES                         102900250000040267.48 0000000000.00
